LifeStage,lifestage_cor
1st yr. Male,Juvenile
1 year,Juvenile
Skull 10% ossified,Juvenile
nestlings,Juvenile
skull ossification,Adult
Skull ossifed,Adult
im?,Juvenile
skull mat.,Adult
imm.sk.?,Juvenile
1st yr.,Juvenile
imm.-r.a.n.,Juvenile
over-winter,NS
larve,Juvenile
adult; young of year,Adult
over-winter; over-winter,Adult
adult; over-winter,Adult
old adult,Adult
Body chewed.,NS
class.,NS
ATY,NS
ed,NS
large sk. wind.,Juvenile
JUVENAL,Juvenile
bursa present; immature,Juvenile
sk. 2-layered,Juvenile
pre-fledgling,Juvenile
fledged juvenile,Juvenile
Downy-Juv.,Juvenile
downy fledgling,Juvenile
Skull 35% ossified,Juvenile
imm sk.,Juvenile
Imm.Sk.Not Oss.,Juvenile
4 days old,Juvenile
Juv.; 31 Days,Juvenile
"Ad-3 Yr,11+Mo",Adult
Immature (HY-U),Juvenile
Skull ossified;,Adult
Adult HY,Juvenile
U-Juv,Juvenile
Imm.;Sk Not Oss.,Juvenile
aad.,Adult
ad. sfo,Adult
sk.part unoss.,Juvenile
Definitive Adult,Adult
skull 25% ossified,Juvenile
imm.sk.oss.,Juvenile
Skull comletely ossified,Adult
adw.,Adult
sk.soft,Juvenile
age of fledgling,Juvenile
ad.sk.double,Adult
LY OSSIFIED,Juvenile
ad. s.f.o.,Adult
6-7 days old.,Juvenile
25,NS
skull windows possibly large,Juvenile
juvenile plumage on breast,Juvenile
Imm?,Juvenile
adult skeleton,Adult
young of year; over-winter,Juvenile
young of year; young of year,Juvenile
adult/juvenile,Adult
Im,Juvenile
SFO,Adult
[imm],Juvenile
Adult skull 100% oss,Adult
Fully ossified skull,Adult
Adult skull100% oss,Adult
Skull 100% ossi,Adult
100% ossified,Adult
Skull 90% oss,Adult
Skul100% ossi,Adult
Skull 100& ossi,Adult
skull half closed,Juvenile
Skull 25% oss,Juvenile
