sp,include_bio1,include_bio12,include_bio4,include_bio15,mass_mean,bio1_mean,bio1_breadth,bio12_mean,bio12_breadth,bio4_mean,bio4_breadth,bio15_mean,bio15_breadth,n_row,partial_r2_bio1_2yr,partial_r2_bio4_2yr,partial_r2_bio12_2yr,partial_r2_bio15_2yr,partial_r2_bio1_bio4,partial_r2_bio12_bio15,r.squared,adj.r.squared,r.squared.bio1,adj.r.squared.bio1,p.value,df,df.residual,AIC,(Intercept)_estimate,(Intercept)_p.value,seasonFall_estimate,seasonFall_p.value,seasonSummer_estimate,seasonSummer_p.value,seasonWinter_estimate,seasonWinter_p.value,sexF_estimate,sexF_p.value,bio1_2yr_estimate,bio1_2yr_p.value,bio12_2yr_estimate,bio12_2yr_p.value,bio15_2yr_estimate,bio15_2yr_p.value,bio4_2yr_estimate,bio4_2yr_p.value,habitat_axis1,habitat_axis2,trophic_axis1,trophic_axis2,taxa,p.value.adj
Mustela_erminea,Y,Y,Y,Y,89.53024,17.6044791564009,199,692.810264117473,1731,10290.61901383,9647,40.4880030222398,61,500,0.13169026243819515,0.13571597067271324,0.11995250011957592,0.13149943403441422,0.33469896999237436,0.2503759373373413,0.443667822094032,0.4346033466902688,0.41753427776367075,0.4116388757167444,6.759684036767448e-58,9,491,164.4998636613577,0.9923611474930718,9.08427067655358e-39,0.05710762574735106,0.4334362879757786,-0.013081915877138773,0.8551679848672217,0.12000011409254215,0.09588170377968273,-0.3367673420707087,2.4980988157227213e-29,-0.07507949792725604,6.999501600821521e-4,0.04077132292599707,0.026806644718140336,-0.04682602349867791,7.417546581814799e-4,0.09534688261768048,2.0674542278840846e-4,0.13314926480292993,0.00988632528175093,0.1647438193283088,0.02197024961100653,mammals,6.459253635133338e-57
Mustela_frenata,Y,Y,Y,Y,213.000245901639,109.936306631337,252,795.24997168317,1689,7444.99774022419,9385,43.5181942590182,93,122,0.11503605435151032,0.12382569952328071,0.11976838756714259,0.12051499017899381,0.23846704858702406,0.24501211764484676,0.44153400520430003,0.40199658964354235,0.409387984586656,0.3839305701291842,1.557172245801834e-11,9,113,37.268166305390366,1.1250262094875096,1.058624743555483e-36,-0.011958828930601196,0.8844049205501578,-0.03737061309118807,0.6028523281094911,-0.06986561826316597,0.5056809020846893,-0.4561516673555506,2.262600683078564e-13,0.02278064860076259,0.48044355519956194,-0.029444235079717485,0.29403096531763745,0.0387555045421212,0.2740152417644269,-0.04305877085648873,0.20297546117518492,0.13314926480292993,0.00988632528175093,0.08265921439277339,0.035916144177007725,mammals,2.8799314653539296e-11
Myadestes_townsendi,Y,Y,Y,Y,33.8219650655022,76.3160228521058,205,523.706795863648,1547,7939.59041173191,6850,46.3727657926282,73,229,0.1451724905762488,0.11816516119405707,0.11204713787403087,0.11112377902644888,0.26415402817624223,0.22304138611365054,0.1386783092231034,0.10735752046757985,0.1304151370475895,0.11091771859574162,5.474206097377668e-5,9,220,-379.12386849111505,0.9853974439020501,8.01775650191444e-127,0.021861055929546666,0.29544757524324305,-0.03788351431634703,0.08343220403104075,0.07914744408295753,0.0034634445548058805,0.014695056587075943,0.3204077822143131,-0.028109465532121777,0.003405278159625071,0.0036481243142293556,0.63058925083575,5.065231403169066e-4,0.9553972237268002,0.011497585837749028,0.18601945758595623,0.48087975253232407,-0.3493181108505509,-0.016928657527288594,-0.15670111973832798,birds,6.974544064807103e-5
Myiarchus_cinerascens,Y,Y,N,Y,28.190325732899,154.599088307862,190,491.464031595775,1208,6279.76701698452,7881,63.5194540594033,92,307,0.12593694742409856,NA,0.12544072744050105,0.13196491829924273,NA,0.2563503032673218,0.09452531484675361,0.07332691084651044,0.08679312739765037,0.07162357801887376,9.75997239101163e-5,8,299,-399.67347213407055,1.032009514272918,4.3688540731329265e-222,-0.019796479523965193,0.46389074121889207,-0.06304340633288798,2.780164458751194e-4,-0.020815298333408023,0.5088937878980448,-0.04703240252447316,0.0014409341404926584,-0.004852409399293959,0.5717250541809407,0.002987909114666652,0.6981637806464356,-0.011381949063980518,0.12246216812085085,NA,NA,0.33356731476159324,0.3263240786538514,0.24151181107326297,0.06471600848196941,birds,1.2343494494514707e-4
Myodes_californicus,Y,Y,Y,Y,21.8898929049531,87.4759840273816,81,1502.28214489447,1781,5110.07666856817,3577,69.3816314888762,25,747,0.12807510464125849,0.11215148182829349,0.11117423086144473,0.11482209387738929,0.2494100828850604,0.22552018778067306,0.21959849165069917,0.21113885470382332,0.21458049793482614,0.20928077120024335,1.7092536283975894e-35,9,738,-366.7839975509656,1.094191751360675,6.671193018406172e-248,-0.17370684529443634,5.748693077106246e-14,-0.07529742633650538,0.006970767233589598,-0.007169881481880853,0.8753281344949391,-0.05833468131221959,3.0740724849797244e-5,0.04133526523890796,1.6342365655824386e-4,0.0029140049497130916,0.8189868330324035,0.016398378981654874,0.07899771787004337,-0.009570061613820846,0.3527085813638855,0.13314926480293032,0.009886325281750737,-0.20289798862719072,0.04268606221526172,mammals,8.166434002344038e-35
Myodes_gapperi,Y,Y,Y,Y,20.1173418225229,32.5678558846209,138,783.942603665462,1372,9982.08361480868,8141,33.6986698595949,55,2513,0.11426227647446496,0.12306742570114626,0.11134340334107107,0.1160500284074979,0.23286463549430714,0.22711175993276544,0.07676911379774584,0.07381949435301027,0.05062921400705347,0.048735774066899995,5.667496391854172e-39,9,2504,1034.758178316885,1.090993112348545,4.183361308972067e-120,-0.27824117631045725,1.6472457533331871e-9,-0.13578975714917588,0.0023245748303147144,-0.3104518613534766,9.54391050127392e-5,0.047482348374835816,6.432273909028917e-5,-0.027934820713132042,0.0028660647999926773,0.006864688744835558,0.4185716542470942,-0.02308220749991549,1.8784338796108395e-4,-0.06195940382532102,5.793686699384223e-9,0.13314926480293032,0.009886325281750742,-0.20289798862719072,0.04268606221526172,mammals,3.361411653099716e-38
Myotis_lucifugus,Y,Y,Y,Y,6.63175587467363,67.2167071823204,143,793.826824519863,1781,9053.79334280453,7447,35.2017405945804,61,766,0.1660594086719146,0.11293661467509541,0.11474979031713772,0.1392438446167944,0.31111755333155044,0.2507419534812504,0.2991152144591521,0.2917082418246386,0.26359405296218225,0.2587492769948283,9.456806812057581e-54,9,757,-229.03811397751767,0.7472434581347199,2.0997806070311918e-125,0.15815082347817258,8.068393833450279e-6,0.16074375877821917,2.115400254789529e-11,-0.09357332754990585,0.05975275945958773,0.14536190870130833,1.2103502782291153e-18,-0.06876638090530797,3.709170295647227e-12,0.020958341957566233,0.07814334090385947,-0.04539502061625709,8.117193541043288e-7,0.018137671124182176,0.21236711750247397,-0.800774018005139,0.3630514991166906,0.5597866209458119,0.18637789153759124,mammals,8.560898798283705e-53
Myotis_velifer,Y,Y,N,Y,8.29303703703704,182.211373340215,115,615.829756486651,1324,5401.15594238258,8099,73.8014920471074,80,270,0.132715302910132,NA,0.18858203479832492,0.12500362737343107,NA,0.30453410057708574,0.12766392004075786,0.10435723088154136,0.05926076244382566,0.04144373142950408,6.878845332134955e-6,8,262,-30.263599987161868,0.9661914589535151,8.318034500471948e-104,0.01398639570697219,0.7203115442579664,-0.05907654212808488,0.09622836721514115,0.028766384770858154,0.73881098792037,0.04306333424686865,0.12591333349344414,-0.026429544366481247,0.12804838393853107,0.06642920988925546,8.928410846955042e-6,-4.929205779933495e-4,0.9737342140566034,NA,NA,-0.8007740180051391,0.3630514991166903,0.5597866209458119,0.1863778915375913,mammals,9.465291177017697e-6
Myotis_volans,Y,Y,Y,Y,6.54036269430052,88.9667818121338,173,477.970169647655,1321,7353.44895985261,6703,49.8935953532407,87,193,0.1577344283077583,0.13915180439901775,0.1257073003743292,0.13086794134141944,0.3314222536898138,0.2464774063623696,0.3200785067049175,0.2905167026486095,0.2920217145628646,0.2730918138827272,1.8759821135039653e-12,9,184,-103.99107829620014,0.9665241508861544,3.426967064912576e-56,0.07006407656097223,0.2523865412394636,-0.08118384796447291,0.052507637838020926,-0.03027312686777551,0.8248163909240029,0.1247032912496423,8.5113618102415e-6,-0.05825647887417499,0.001664899758557059,0.029265188742615234,0.08132418602589953,0.036676196872670444,0.0422641148902046,0.049690721145712526,0.015296560311998109,-0.8007740180051391,0.3630514991166903,0.5597866209458119,0.1863778915375913,mammals,3.66669231275775e-12
Myotis_yumanensis,Y,Y,Y,Y,5.19671361502347,146.560144619786,174,512.600507398632,1641,6158.02093298762,7293,67.3557657919442,87,213,0.14562101546378858,0.1268576235549762,0.1267175725649594,0.12509649828804548,0.2711568887051309,0.25215894971405306,0.0678333049436134,0.036003222673395285,0.06461706809475666,0.046628934788886633,0.041866396649561384,8,205,-14.425734342525082,0.9603206167069873,1.6942975195210947e-42,-0.0023193930985245057,0.9710390428654759,-0.05186784612104521,0.3498702327037032,NA,NA,0.09067640547128569,0.0060247746890809434,-0.04221820428456468,0.027214331045421078,0.01505199095360788,0.526152316557447,-0.002929830221199971,0.8806217964272469,0.014118816628008502,0.5097325203781753,-0.8007740180051391,0.3630514991166903,0.559786620945812,0.1863778915375913,mammals,0.043119881579188966
Napaeozapus_insignis,Y,Y,N,Y,20.9062937062937,54.9707451664604,112,986.928536649693,696,9872.45975938812,4541,18.7304680367613,35,143,0.20549488601082166,NA,0.14287024030998263,0.16158828128069458,NA,0.30174920775506753,0.14613372407958203,0.10846315308309296,0.12652518325198508,0.101207072621608,0.0013185517034398607,7,136,-57.273367153503955,0.9621805542375574,2.0958584837322682e-54,0.1194731338126085,0.11602448790447846,-0.04152420258542634,0.3542081470944436,NA,NA,0.08988969420093727,0.010438618127433396,-0.05976632222584953,0.0013427956686265625,-7.515762231317297e-4,0.96370641946724,-0.030619852966651085,0.08357581773618976,NA,NA,0.13314926480293032,0.009886325281750721,-0.12707102257008143,-0.16601538459153234,mammals,0.0015427951904194287
Neotoma_albigula,Y,Y,Y,Y,155.191180292366,164.310264037161,167,314.563645994621,524,6887.79512672154,4050,70.3838725450249,83,1847,0.11757391385904947,0.1116724662074593,0.11528872058710493,0.11113942544693067,0.22804025094398672,0.22596367643633364,0.06192687352746367,0.057843856654895554,0.05739175165208982,0.054831707522953854,9.940524762994096e-22,9,1838,535.2350438288538,0.9482759137757508,0,0.08389815129418114,5.270831825561876e-6,0.07405843508750949,8.73979884794859e-5,0.10625515622580303,4.1587585648801536e-6,-0.10556678198493553,1.1391780457909272e-15,0.029491199837917266,2.5046903949042505e-4,0.023331519912038346,0.0032593948608000186,0.002060149865354338,0.8088314402349044,0.008425639455442665,0.2813011666618501,0.13314926480293032,0.009886325281750756,-0.3212167434732602,0.1562600534376139,mammals,2.849617098724974e-21
Neotoma_cinerea,Y,Y,Y,Y,232.909429824561,62.2501366151324,131,528.781962248685,1687,7884.70887315285,4965,38.8107254263531,59,228,0.11469110726742582,0.1126340410218104,0.11182832987168323,0.11226801659972685,0.22594338761689514,0.22376053608780666,0.08730363938237048,0.053963133058438806,0.08177505948320565,0.06109431757967421,0.009337239474672658,9,219,138.2344774635138,1.2279740358412912,1.5469817648283746e-18,-0.21912872355610047,0.0914506784922413,-0.21262209027099527,0.10203329573153978,-0.06847527184562674,0.669724477521759,-0.15986247473660076,2.4710210800129255e-4,0.023585632831738857,0.3477125157302787,-0.011517937862682587,0.6745089446061728,0.012416521013534597,0.5937227829077949,0.01809444906324678,0.5404656748451246,0.13314926480293032,0.009886325281750756,-0.32121674347326024,0.15626005343761395,mammals,0.009975187513314889
Neotoma_fuscipes,Y,Y,Y,Y,218.098469387755,116.920795016316,99,856.101676060516,1481,5467.49495698606,4411,75.7550430139425,53,196,0.11170671429395906,0.12088367967155289,0.11906780683767237,0.1545267837039871,0.23079519202787624,0.27161870087714357,0.2009579354987603,0.16677431776608698,0.14580741143938772,0.12332865910884516,1.0404335050684501e-6,9,187,95.00661594126464,1.0974228013026157,1.744443374227781e-52,-0.10606843339288248,0.15454626887470566,-0.07816246468629989,0.23037835037818694,-0.030554378879809854,0.6636849422035735,-0.20309777284176164,6.997773118856793e-6,-0.009673117628042275,0.7236658229977406,0.03182544956615031,0.19533152382891095,-0.0883866682473641,0.0022429533742779934,-0.042309410979488815,0.1510342410359509,0.13314926480293032,0.009886325281750749,-0.32121674347326007,0.15626005343761387,mammals,1.529526178391226e-6
Neotoma_lepida,Y,Y,Y,Y,116.291744548287,142.788565502703,160,244.69489306722,483,7052.46118799089,5964,49.1276903199483,84,642,0.1463381702472344,0.12484821038499416,0.1155305768604068,0.123705626706062,0.2665647403130421,0.23718155459249812,0.15244432009414813,0.14173271592472192,0.12159025431215967,0.11468451731775842,3.704752014757624e-19,9,633,118.59565634046197,1.049363120646633,4.44563544435164e-217,0.026725319958081882,0.39414508016120386,-0.06650516873825993,0.015002115876559067,0.026477051624503367,0.4584956486276164,-0.14376337092951655,1.6083474134341395e-11,0.0636711571747064,4.251753798358053e-7,0.022543307930717394,0.07580739824644751,-0.042143774076091815,0.0026618207918434754,-0.047862038832676,0.0016972689221067467,0.13314926480293032,0.009886325281750749,-0.3212167434732601,0.15626005343761393,mammals,9.654808280883504e-19
Neovison_vison,Y,Y,Y,Y,792.680187110187,62.5936008560415,242,777.116075615022,1493,9347.00840754857,9565,37.4425045675625,60,481,0.11182770352814575,0.11111113861749333,0.12257242126032153,0.1414048926202618,0.223221822225393,0.25544480703050265,0.4884830905677725,0.4798133124418026,0.46084210552298616,0.45516675926533334,5.18618944333748e-64,9,472,77.90704648355089,1.2908623599854647,7.2544563952637e-132,-0.24419575016376815,9.007875848836453e-8,-0.2982000287245625,1.1555664376889388e-4,-0.22502600171945394,2.950247560256382e-7,-0.39995183030763776,9.547034449936669e-49,-0.013676364392924942,0.537463571441597,0.05616598806699478,0.01337323587897651,0.0654950952613998,5.267781472231336e-5,-1.0290713689285488e-4,0.9969522946337278,0.1331492648029299,0.009886325281750898,0.17107754632881642,0.023530640275993248,mammals,5.575153651587791e-63
Neurotrichus_gibbsii,Y,Y,Y,Y,9.20496503496503,94.1911685926379,99,1542.927527359,2032,4877.80324481518,3378,65.8347746230964,47,1144,0.11872828545996805,0.20286467275859177,0.12002171695781483,0.11259508365941906,0.30626070314000065,0.2310043740799781,0.15387267706445842,0.14790878403936203,0.05592692561090176,0.05177897712940305,7.625099363632463e-37,9,1135,-754.9287220167759,1.0630075405646786,0,-0.09809919529251963,4.289305621703842e-9,-0.09891495948416412,1.8543359985579262e-10,0.015600912877523411,0.6851815634909859,2.1072274897272332e-5,0.9983756428077675,0.019905446425021102,0.0017798228742589924,0.018486546444221055,7.226343419853398e-4,0.007400518243273944,0.16857212171508246,0.06917612811377839,1.029674296676689e-28,0.13314926480293024,0.009886325281750648,0.45048984478105525,0.21565827799888493,mammals,3.7471916872708104e-36
Notiosorex_crawfordi,Y,Y,Y,Y,3.09150943396226,170.844158435598,149,385.571966295702,638,6286.61167496576,6158,71.2300164167869,73,212,0.11649969185915765,0.15304778745087444,0.15205196948436184,0.11172393500744837,0.27289114179159113,0.2592260068667893,0.3300579407401879,0.3036562832324121,0.19872779410747368,0.17927943959551917,1.553159169969753e-14,9,203,-39.2236404941593,1.0753718027546344,1.8781278099473534e-53,-0.1375371808613984,0.02544942210913007,-0.13355695962990372,0.018331433979010055,-0.14266987419252086,0.056759772462862366,0.01684635509589214,0.5900180651053991,0.02185283355880277,0.2671490534746389,0.054345011011134446,0.002001038534506989,-0.010000161882001209,0.7086217048036223,-0.09105497165571116,0.0017579383622493318,0.13314926480293024,0.009886325281750671,0.559786620945812,0.1863778915375911,mammals,3.2578460638389945e-14
Onychomys_leucogaster,Y,Y,Y,Y,28.8299191374663,109.396344344688,182,396.982457365007,560,8339.61694553031,5282,50.4388128785601,67,371,0.15900647140368374,0.1335333233257593,0.1803825193388805,0.1138865614995378,0.27104768442992366,0.2897361257475439,0.19467216942123472,0.17687486929794716,0.09610343798921758,0.08372129330413836,7.728387106779725e-14,9,362,82.82838021081615,0.8262980296975481,6.787531282441233e-64,0.21194955426956458,4.4622250545510465e-6,0.11315392078761248,0.012850544844868007,0.1275973533480606,0.047067157710460016,-0.004963564418005394,0.8594488248759137,0.09890745656704121,7.65158927876509e-6,0.07995431725093452,6.10299473375207e-8,-0.021537944041494866,0.28766693812190874,0.06072046015094939,0.0023732193128012643,0.13314926480293027,0.009886325281750728,0.4504898447810553,0.21565827799888493,mammals,1.5638618616071913e-13
Onychomys_torridus,Y,Y,N,Y,21.5772213930348,151.834307162481,202,318.741748249042,651,6912.37549820067,4092,58.5521998220021,100,402,0.14021297441984182,NA,0.1534265141194232,0.14711012173251692,NA,0.30510823931501085,0.11474964144170377,0.09902184319320606,0.04454505509714769,0.03248123003524306,3.077752128495073e-8,8,394,-83.62508545071212,0.945739332669632,6.497484691352586e-119,0.04761084866439065,0.12242413293332068,-0.02961665343576042,0.44540777145018484,0.0041740279500718565,0.9048711599222996,0.021327179324796462,0.3288653543432192,0.02919219132992094,0.0086114657265163215,0.0408566759297676,3.121350771266037e-4,-0.03788396903002504,0.00150616630728909,NA,NA,0.13314926480293027,0.009886325281750727,0.4504898447810553,0.21565827799888485,mammals,4.901605241677339e-8
Oreoscoptes_montanus,Y,Y,Y,Y,43.3032777777778,112.935549535408,208,367.714069422994,652,7708.99708838646,5095,46.9884497556776,73,180,0.11228644552352607,0.1118003968725958,0.11605783304656714,0.11258697736313161,0.224171495268073,0.22784655530025077,0.042885194807580795,-0.0018921060201346762,0.03291470606890315,0.005124898772032482,0.47086497332138644,9,171,-305.61270658243427,1.0278274829882268,1.470890044861879e-98,-0.05103533446011985,0.04027749100309019,-0.044379895257802664,0.12462088749443946,-0.041340175937086256,0.23787988090222723,0.00691986396117381,0.6659909870536309,-0.007065047179457137,0.634810193024133,-0.009273322268012458,0.3293381571381323,0.006325424495113884,0.5945293469595045,0.004003784860208698,0.7160945512028418,-0.534812999360953,-0.17304523217924145,0.2220726300167159,-0.07541177802078189,birds,0.4764045612428145
Oryzomys_palustris,Y,Y,Y,Y,43.3633333333333,178.368296393624,100,1317.20065004668,703,6774.85166488019,4764,23.2577884582138,46,237,0.13704197122055095,0.177616938733403,0.2345587298917835,0.29686151040746445,0.34827325873273707,0.4073131459527073,0.3840236750279682,0.3624104706429846,0.18035515720806178,0.16261392684459985,1.5734539098844197e-20,9,228,46.839120927814875,1.039366937221187,5.548875277851907e-107,0.22141533976142927,0.2752290673191656,0.16062974606498776,0.014648033398504385,-0.09883423201460774,0.03947413661897533,-0.216641329776667,2.206683637558608e-9,0.07300941000863422,0.009451483273964426,-0.11828399305536394,5.46394760401307e-9,-0.20795207302511676,2.815948509108662e-13,-0.10854804062869795,2.5971014033334613e-5,0.13314926480293024,0.0098863252817507,-0.1430815122370024,-0.04414915318001635,mammals,4.295778928573336e-20
