"SpName","modelName","pval","adjRsquare","MinMass_used","MaxMass_used","Mean_used","es_bio1","pval_bio1","adjPval_bio1","sig_bio1_f","sig_bio1_nf","bio1_mean","bio1_breadth","es_bio12","pval_bio12","adjPval_bio12","sig_bio12_f","sig_bio12_nf","bio12_mean","bio12_breadth","es_bio4","pval_bio4","adjPval_bio4","sig_bio4_f","sig_bio4_nf","bio4_mean","bio4_breadth","es_bio15","pval_bio15","adjPval_bio15","sig_bio15_f","sig_bio15_nf","bio15_mean","bio15_breadth"
"Myotis_velifer","m10",0.000255716764317529,0.0716476643816621,2.2,16,8.293037037,-0.118222772048733,0.103071675829791,0.167859586351374,"NS","NS",182.211373340215,115,0.224502511656934,0.000357954822939669,0.00195756543795132,"Pos","Pos",615.829756486651,1324,-9999,-9999,-9999,"Exl","Exl",5401.15594238258,8098.79999999999,-0.0129071712219948,0.840718071768441,0.897107698533398,"NS","NS",73.8014920471074,80
"Myotis_volans","m8",1.44844650128934e-09,0.219165737097767,3.4,10.1,6.5462,-0.292478901053263,0.00182673208344547,0.00600713819748414,"Neg","Neg",88.9667818121338,173,0.174089272507533,0.0332731726299963,0.0831829315749908,"NS","Pos",477.970169647655,1320.89999999999,-9999,-9999,-9999,"Exl","Exl",7353.44895985261,6703,0.0288339853000792,0.762011133465489,0.838691499097236,"NS","NS",49.8935953532407,87
"Myotis_yumanensis","m8",0.271728766459444,0.00738143300914684,1.65,10.2,5.191136364,-0.0779106283444591,0.343442524613895,0.470039958485298,"NS","NS",146.560144619786,174,0.0734681684898322,0.434338351366633,0.592925727266733,"NS","NS",512.600507398632,1641.22500000001,0.0642465499432754,0.4654299175155,0.562683930130679,"NS","NS",6158.02093298762,7293,-0.0954230605032602,0.269181903562828,0.402622505329016,"NS","NS",67.3557657919442,87
"Napaeozapus_insignis","m10",0.00434536285784503,0.0820877908886771,10,37,20.89452055,-0.237059161619471,0.00485241869505119,0.0129650562008399,"Neg","Neg",54.9707451664604,112,0.0287573223210856,0.721039967250786,0.798620216891693,"NS","NS",986.928536649693,696,-9999,-9999,-9999,"Exl","Exl",9872.45975938812,4541,-0.130862701321267,0.105793573298571,0.201237775296195,"NS","NS",18.7304680367613,35
"Neotoma_albigula","m8",5.15903361433153e-10,0.026462456617573,40,306,155.5132359,0.0983406973211341,8.36716882098e-05,0.000366868171381431,"Pos","Pos",164.310264037161,167,0.0615767384994375,0.0203877607868324,0.0554340596925274,"NS","Pos",314.563645994621,524,-9999,-9999,-9999,"Exl","Exl",6887.79512672154,4050,-0.0507183724367037,0.069805560560662,0.140413483886389,"NS","NS",70.3838725450249,83
"Neotoma_cinerea","m8",0.329044693833408,0.00471810096811254,77,455.4,232.2601293,0.0411416944876616,0.603164733100085,0.704995651525912,"NS","NS",62.2501366151324,131,-0.118669412029407,0.145293741856918,0.273568926989501,"NS","NS",528.781962248685,1687,-9999,-9999,-9999,"Exl","Exl",7884.70887315285,4965,0.00711088161659323,0.919230926154547,0.946267129864975,"NS","NS",38.8107254263531,59
"Neotoma_fuscipes","m8",0.00111542798412739,0.0858181747356415,64.2,415.5,218.0984694,0.0709331559354323,0.451711947493429,0.57216846682501,"NS","NS",116.920795016316,99,0.115498379805429,0.146945595068646,0.273568926989501,"NS","NS",856.101676060516,1481,-0.108020974932262,0.235271866607027,0.355312975216496,"NS","NS",5467.49495698606,4410.925,-0.258234708648221,0.00482592934505541,0.0172354619466265,"Neg","Neg",75.7550430139425,53
"Neotoma_lepida","m8",3.57005837996438e-10,0.076967589695113,32,224,116.3001553,0.170881496774211,0.000145333398867567,0.000621300280158849,"Pos","Pos",142.788565502703,160,-0.0225714331144096,0.617019153926203,0.734546611816908,"NS","NS",244.69489306722,483,-9999,-9999,-9999,"Exl","Exl",7052.46118799089,5964.475,-0.145296551198355,0.00220644683640964,0.00897972549701598,"Neg","Neg",49.1276903199483,84
"Neovison_vison","m8",2.29425990195019e-18,0.173941787418518,206,1540,791.8061364,-0.145903045116844,0.0460989635079242,0.0895786677256254,"NS","Neg",62.5936008560415,242,0.086257371481723,0.225776618777987,0.372744417793846,"NS","NS",777.116075615022,1493,-0.164380743554182,0.0535389694330949,0.100852477304202,"NS","NS",9347.00840754857,9565,0.115899493829493,0.0309018347264174,0.0711656963603057,"NS","Pos",37.4425045675625,60
"Neurotrichus_gibbsii","m8",9.46845609024694e-30,0.113635378535577,3.9,16.9,9.193075658,0.0597735649730643,0.090374450275899,0.150039135894939,"NS","NS",94.1911685926379,99,0.0884722644465528,0.00144945382980926,0.00650395949273386,"Pos","Pos",1542.927527359,2032,-9999,-9999,-9999,"Exl","Exl",4877.80324481518,3378.35,0.0845826125321691,0.00376419032865847,0.0140156022875581,"Pos","Pos",65.8347746230964,47
"Notiosorex_crawfordi","m10",5.82038450291761e-19,0.309736410916971,1.1,5.5,2.997244094,0.129194455805266,0.0539686638226722,0.102540461263077,"NS","NS",170.844158435598,149,0.34303645060402,5.39853005215549e-09,5.55731034780712e-08,"Pos","Pos",385.571966295702,638,-9999,-9999,-9999,"Exl","Exl",6286.61167496576,6158,0.196497892459663,0.00592220610064023,0.0203212954433733,"Pos","Pos",71.2300164167869,73
"Onychomys_leucogaster","m8",7.20269669883567e-12,0.14862779474574,9.5,54,28.87234043,0.362310808590545,1.27723655149145e-06,8.73629801220152e-06,"Pos","Pos",109.396344344688,182,0.219253057408931,8.29421524182735e-06,5.58264487430687e-05,"Pos","Pos",396.982457365007,560,-9999,-9999,-9999,"Exl","Exl",8339.61694553031,5282,-0.0380429583062175,0.559892562204493,0.690008439336523,"NS","NS",50.4388128785601,67
